date,product_id,planned,actual,utilization,delay,utilization_pct,product_name,category,is_active,efficiency_pct,unused_capacity,is_delayed
2020-01-02,BL_IND,44,40,0.82,1,82.0,Industrial Blender,Industrial,True,90.91,4,True
2020-01-02,ESP,53,53,0.65,0,65.0,Espresso Machine,Kitchen,True,100.0,0,False
2020-01-02,SW,50,48,0.81,1,81.0,Sandwich Maker,Kitchen,True,96.0,2,True
2020-01-02,MX_KIT,54,52,0.88,1,88.0,Kitchen Mixer,Kitchen,False,96.3,2,True
2020-01-02,MX_IND,47,47,0.84,0,84.0,Industrial Mixer,Industrial,True,100.0,0,False
2020-01-03,FAN_STD,48,48,0.84,0,84.0,Fan,Cooling,True,100.0,0,False
2020-01-03,EX_FLAT,55,54,0.69,1,69.0,Exhaust Flat,Cooling,True,98.18,1,True
2020-01-03,EX_POLY,53,53,0.78,0,78.0,Exhaust Polygon,Cooling,False,100.0,0,False
2020-01-03,EX_CIRC,60,60,0.72,0,72.0,Exhaust Circular,Cooling,True,100.0,0,False
2020-01-03,AF_5,60,57,0.63,1,63.0,Air Fryer 5L,Kitchen,True,95.0,3,True
2020-01-03,AF_75,52,52,0.83,0,83.0,Air Fryer 7.5L,Kitchen,True,100.0,0,False
2020-01-03,BL_CHOP,51,47,0.68,1,68.0,Chopper Blender,Kitchen,True,92.16,4,True
2020-01-03,BL_KIT,55,51,0.66,1,66.0,Kitchen Blender,Kitchen,True,92.73,4,True
2020-01-03,BL_IND,47,45,0.83,1,83.0,Industrial Blender,Industrial,True,95.74,2,True
2020-01-03,ESP,51,49,0.82,1,82.0,Espresso Machine,Kitchen,True,96.08,2,True
2020-01-03,SW,44,40,0.77,1,77.0,Sandwich Maker,Kitchen,True,90.91,4,True
2020-01-03,MX_KIT,61,57,0.78,1,78.0,Kitchen Mixer,Kitchen,False,93.44,4,True
2020-01-03,MX_IND,52,48,0.68,1,68.0,Industrial Mixer,Industrial,True,92.31,4,True
2020-01-04,FAN_STD,50,50,0.62,0,62.0,Fan,Cooling,True,100.0,0,False
2020-01-04,EX_FLAT,45,42,0.61,1,61.0,Exhaust Flat,Cooling,True,93.33,3,True
2020-01-04,EX_POLY,63,59,0.8,1,80.0,Exhaust Polygon,Cooling,False,93.65,4,True
2020-01-04,EX_CIRC,46,46,0.71,0,71.0,Exhaust Circular,Cooling,True,100.0,0,False
2020-01-04,AF_5,42,41,0.93,1,93.0,Air Fryer 5L,Kitchen,True,97.62,1,True
2020-01-04,AF_75,37,36,0.69,1,69.0,Air Fryer 7.5L,Kitchen,True,97.3,1,True
2020-01-04,BL_CHOP,46,46,0.65,0,65.0,Chopper Blender,Kitchen,True,100.0,0,False
2020-01-04,BL_KIT,54,53,0.88,1,88.0,Kitchen Blender,Kitchen,True,98.15,1,True
2020-01-04,BL_IND,62,62,0.82,0,82.0,Industrial Blender,Industrial,True,100.0,0,False
2020-01-04,ESP,43,40,0.91,1,91.0,Espresso Machine,Kitchen,True,93.02,3,True
2020-01-04,SW,49,47,0.76,1,76.0,Sandwich Maker,Kitchen,True,95.92,2,True
2020-01-04,MX_KIT,51,50,0.9,1,90.0,Kitchen Mixer,Kitchen,False,98.04,1,True
2020-01-04,MX_IND,44,42,0.64,1,64.0,Industrial Mixer,Industrial,True,95.45,2,True
2020-01-05,FAN_STD,50,47,0.94,1,94.0,Fan,Cooling,True,94.0,3,True
2020-01-05,EX_FLAT,49,46,0.74,1,74.0,Exhaust Flat,Cooling,True,93.88,3,True
2020-01-05,EX_POLY,54,50,0.94,1,94.0,Exhaust Polygon,Cooling,False,92.59,4,True
2020-01-05,EX_CIRC,55,53,0.75,1,75.0,Exhaust Circular,Cooling,True,96.36,2,True
2020-01-05,AF_5,38,34,0.63,1,63.0,Air Fryer 5L,Kitchen,True,89.47,4,True
2020-01-05,AF_75,48,48,0.66,0,66.0,Air Fryer 7.5L,Kitchen,True,100.0,0,False
2020-01-05,BL_CHOP,42,42,0.83,0,83.0,Chopper Blender,Kitchen,True,100.0,0,False
2020-01-05,BL_KIT,55,51,0.75,1,75.0,Kitchen Blender,Kitchen,True,92.73,4,True
2020-01-05,BL_IND,44,40,0.64,1,64.0,Industrial Blender,Industrial,True,90.91,4,True
2020-01-05,ESP,47,47,0.71,0,71.0,Espresso Machine,Kitchen,True,100.0,0,False
2020-01-05,SW,57,53,0.74,1,74.0,Sandwich Maker,Kitchen,True,92.98,4,True
2020-01-05,MX_KIT,52,51,0.69,1,69.0,Kitchen Mixer,Kitchen,False,98.08,1,True
2020-01-05,MX_IND,50,46,0.66,1,66.0,Industrial Mixer,Industrial,True,92.0,4,True
2020-01-06,FAN_STD,37,37,0.9,0,90.0,Fan,Cooling,True,100.0,0,False
2020-01-06,EX_FLAT,53,50,0.74,1,74.0,Exhaust Flat,Cooling,True,94.34,3,True
2020-01-06,EX_POLY,53,51,0.89,1,89.0,Exhaust Polygon,Cooling,False,96.23,2,True
2020-01-06,EX_CIRC,53,52,0.67,1,67.0,Exhaust Circular,Cooling,True,98.11,1,True
2020-01-06,AF_5,45,44,0.61,1,61.0,Air Fryer 5L,Kitchen,True,97.78,1,True
2020-01-06,AF_75,52,51,0.71,1,71.0,Air Fryer 7.5L,Kitchen,True,98.08,1,True
2020-01-06,BL_CHOP,58,57,0.69,1,69.0,Chopper Blender,Kitchen,True,98.28,1,True
2020-01-06,BL_KIT,50,49,0.82,1,82.0,Kitchen Blender,Kitchen,True,98.0,1,True
2020-01-06,BL_IND,60,56,0.94,1,94.0,Industrial Blender,Industrial,True,93.33,4,True
2020-01-06,ESP,51,49,0.95,1,95.0,Espresso Machine,Kitchen,True,96.08,2,True
2020-01-06,SW,48,44,0.68,1,68.0,Sandwich Maker,Kitchen,True,91.67,4,True
2020-01-06,MX_KIT,54,52,0.64,1,64.0,Kitchen Mixer,Kitchen,False,96.3,2,True
2020-01-06,MX_IND,61,61,0.71,0,71.0,Industrial Mixer,Industrial,True,100.0,0,False
2020-01-07,FAN_STD,60,57,0.94,1,94.0,Fan,Cooling,True,95.0,3,True
2020-01-07,EX_FLAT,58,55,0.93,1,93.0,Exhaust Flat,Cooling,True,94.83,3,True
2020-01-07,EX_POLY,66,62,0.63,1,63.0,Exhaust Polygon,Cooling,False,93.94,4,True
2020-01-07,EX_CIRC,52,48,0.86,1,86.0,Exhaust Circular,Cooling,True,92.31,4,True
2020-01-07,AF_5,39,38,0.75,1,75.0,Air Fryer 5L,Kitchen,True,97.44,1,True
2020-01-07,AF_75,60,59,0.94,1,94.0,Air Fryer 7.5L,Kitchen,True,98.33,1,True
2020-01-07,BL_CHOP,54,54,0.64,0,64.0,Chopper Blender,Kitchen,True,100.0,0,False
2020-01-07,BL_KIT,38,37,0.74,1,74.0,Kitchen Blender,Kitchen,True,97.37,1,True
2020-01-07,BL_IND,60,56,0.63,1,63.0,Industrial Blender,Industrial,True,93.33,4,True
2020-01-07,ESP,47,47,0.81,0,81.0,Espresso Machine,Kitchen,True,100.0,0,False
2020-01-07,SW,47,45,0.87,1,87.0,Sandwich Maker,Kitchen,True,95.74,2,True
2020-01-07,MX_KIT,51,50,0.72,1,72.0,Kitchen Mixer,Kitchen,False,98.04,1,True
2020-01-07,MX_IND,49,48,0.76,1,76.0,Industrial Mixer,Industrial,True,97.96,1,True
2020-01-08,FAN_STD,35,31,0.89,1,89.0,Fan,Cooling,True,88.57,4,True
2020-01-08,EX_FLAT,55,52,0.94,1,94.0,Exhaust Flat,Cooling,True,94.55,3,True
2020-01-08,EX_POLY,47,47,0.68,0,68.0,Exhaust Polygon,Cooling,False,100.0,0,False
2020-01-08,EX_CIRC,69,65,0.62,1,62.0,Exhaust Circular,Cooling,True,94.2,4,True
2020-01-08,AF_5,60,58,0.92,1,92.0,Air Fryer 5L,Kitchen,True,96.67,2,True
2020-01-08,AF_75,44,44,0.78,0,78.0,Air Fryer 7.5L,Kitchen,True,100.0,0,False
2020-01-08,BL_CHOP,53,53,0.82,0,82.0,Chopper Blender,Kitchen,True,100.0,0,False
2020-01-08,BL_KIT,52,52,0.92,0,92.0,Kitchen Blender,Kitchen,True,100.0,0,False
2020-01-08,BL_IND,68,65,0.64,1,64.0,Industrial Blender,Industrial,True,95.59,3,True
2020-01-08,ESP,46,43,0.76,1,76.0,Espresso Machine,Kitchen,True,93.48,3,True
2020-01-08,SW,47,44,0.73,1,73.0,Sandwich Maker,Kitchen,True,93.62,3,True
2020-01-08,MX_KIT,45,45,0.7,0,70.0,Kitchen Mixer,Kitchen,False,100.0,0,False
2020-01-08,MX_IND,48,44,0.65,1,65.0,Industrial Mixer,Industrial,True,91.67,4,True
2020-01-09,FAN_STD,48,48,0.75,0,75.0,Fan,Cooling,True,100.0,0,False
2020-01-09,EX_FLAT,63,59,0.66,1,66.0,Exhaust Flat,Cooling,True,93.65,4,True
2020-01-09,EX_POLY,48,47,0.95,1,95.0,Exhaust Polygon,Cooling,False,97.92,1,True
2020-01-09,EX_CIRC,41,41,0.94,0,94.0,Exhaust Circular,Cooling,True,100.0,0,False
2020-01-09,AF_5,49,49,0.6,0,60.0,Air Fryer 5L,Kitchen,True,100.0,0,False
2020-01-09,AF_75,37,33,0.95,1,95.0,Air Fryer 7.5L,Kitchen,True,89.19,4,True
2020-01-09,BL_CHOP,58,58,0.65,0,65.0,Chopper Blender,Kitchen,True,100.0,0,False
2020-01-09,BL_KIT,67,67,0.84,0,84.0,Kitchen Blender,Kitchen,True,100.0,0,False
2020-01-09,BL_IND,52,51,0.77,1,77.0,Industrial Blender,Industrial,True,98.08,1,True
2020-01-09,ESP,49,48,0.9,1,90.0,Espresso Machine,Kitchen,True,97.96,1,True
2020-01-09,SW,51,49,0.74,1,74.0,Sandwich Maker,Kitchen,True,96.08,2,True
2020-01-09,MX_KIT,41,37,0.82,1,82.0,Kitchen Mixer,Kitchen,False,90.24,4,True
2020-01-09,MX_IND,54,51,0.94,1,94.0,Industrial Mixer,Industrial,True,94.44,3,True
2020-01-10,FAN_STD,52,50,0.63,1,63.0,Fan,Cooling,True,96.15,2,True
2020-01-10,EX_FLAT,55,55,0.87,0,87.0,Exhaust Flat,Cooling,True,100.0,0,False
2020-01-10,EX_POLY,48,46,0.84,1,84.0,Exhaust Polygon,Cooling,False,95.83,2,True
2020-01-10,EX_CIRC,57,57,0.77,0,77.0,Exhaust Circular,Cooling,True,100.0,0,False
2020-01-10,AF_5,45,44,0.82,1,82.0,Air Fryer 5L,Kitchen,True,97.78,1,True
2020-01-10,AF_75,47,45,0.68,1,68.0,Air Fryer 7.5L,Kitchen,True,95.74,2,True
2020-01-10,BL_CHOP,37,35,0.65,1,65.0,Chopper Blender,Kitchen,True,94.59,2,True
2020-01-10,BL_KIT,53,53,0.91,0,91.0,Kitchen Blender,Kitchen,True,100.0,0,False
2020-01-10,BL_IND,49,48,0.81,1,81.0,Industrial Blender,Industrial,True,97.96,1,True
2020-01-10,ESP,44,43,0.7,1,70.0,Espresso Machine,Kitchen,True,97.73,1,True
2020-01-10,SW,42,42,0.79,0,79.0,Sandwich Maker,Kitchen,True,100.0,0,False
2020-01-10,MX_KIT,47,47,0.78,0,78.0,Kitchen Mixer,Kitchen,False,100.0,0,False
2020-01-10,MX_IND,54,54,0.77,0,77.0,Industrial Mixer,Industrial,True,100.0,0,False
2020-01-11,FAN_STD,54,52,0.92,1,92.0,Fan,Cooling,True,96.3,2,True
2020-01-11,EX_FLAT,36,36,0.63,0,63.0,Exhaust Flat,Cooling,True,100.0,0,False
2020-01-11,EX_POLY,51,50,0.87,1,87.0,Exhaust Polygon,Cooling,False,98.04,1,True
2020-01-11,EX_CIRC,51,50,0.61,1,61.0,Exhaust Circular,Cooling,True,98.04,1,True
2020-01-11,AF_5,44,42,0.79,1,79.0,Air Fryer 5L,Kitchen,True,95.45,2,True
2020-01-11,AF_75,40,38,0.74,1,74.0,Air Fryer 7.5L,Kitchen,True,95.0,2,True
2020-01-11,BL_CHOP,39,36,0.61,1,61.0,Chopper Blender,Kitchen,True,92.31,3,True
2020-01-11,BL_KIT,46,45,0.79,1,79.0,Kitchen Blender,Kitchen,True,97.83,1,True
2020-01-11,BL_IND,44,44,0.84,0,84.0,Industrial Blender,Industrial,True,100.0,0,False
2020-01-11,ESP,56,53,0.79,1,79.0,Espresso Machine,Kitchen,True,94.64,3,True
2020-01-11,SW,52,52,0.8,0,80.0,Sandwich Maker,Kitchen,True,100.0,0,False
2020-01-11,MX_KIT,47,44,0.83,1,83.0,Kitchen Mixer,Kitchen,False,93.62,3,True
2020-01-11,MX_IND,51,47,0.72,1,72.0,Industrial Mixer,Industrial,True,92.16,4,True
2020-01-12,FAN_STD,63,59,0.65,1,65.0,Fan,Cooling,True,93.65,4,True
2020-01-12,EX_FLAT,44,42,0.63,1,63.0,Exhaust Flat,Cooling,True,95.45,2,True
2020-01-12,EX_POLY,57,57,0.63,0,63.0,Exhaust Polygon,Cooling,False,100.0,0,False
2020-01-12,EX_CIRC,50,47,0.95,1,95.0,Exhaust Circular,Cooling,True,94.0,3,True
2020-01-12,AF_5,61,59,0.9,1,90.0,Air Fryer 5L,Kitchen,True,96.72,2,True
2020-01-12,AF_75,57,55,0.89,1,89.0,Air Fryer 7.5L,Kitchen,True,96.49,2,True
2020-01-12,BL_CHOP,55,54,0.7,1,70.0,Chopper Blender,Kitchen,True,98.18,1,True
2020-01-12,BL_KIT,56,53,0.75,1,75.0,Kitchen Blender,Kitchen,True,94.64,3,True
2020-01-12,BL_IND,50,50,0.81,0,81.0,Industrial Blender,Industrial,True,100.0,0,False
2020-01-12,ESP,45,43,0.93,1,93.0,Espresso Machine,Kitchen,True,95.56,2,True
2020-01-12,SW,46,45,0.76,1,76.0,Sandwich Maker,Kitchen,True,97.83,1,True
2020-01-12,MX_KIT,51,50,0.71,1,71.0,Kitchen Mixer,Kitchen,False,98.04,1,True
2020-01-12,MX_IND,57,53,0.6,1,60.0,Industrial Mixer,Industrial,True,92.98,4,True
2020-01-13,FAN_STD,40,38,0.72,1,72.0,Fan,Cooling,True,95.0,2,True
2020-01-13,EX_FLAT,63,60,0.74,1,74.0,Exhaust Flat,Cooling,True,95.24,3,True
2020-01-13,EX_POLY,43,43,0.86,0,86.0,Exhaust Polygon,Cooling,False,100.0,0,False
2020-01-13,EX_CIRC,51,49,0.88,1,88.0,Exhaust Circular,Cooling,True,96.08,2,True
2020-01-13,AF_5,43,39,0.67,1,67.0,Air Fryer 5L,Kitchen,True,90.7,4,True
2020-01-13,AF_75,44,41,0.71,1,71.0,Air Fryer 7.5L,Kitchen,True,93.18,3,True
2020-01-13,BL_CHOP,52,50,0.82,1,82.0,Chopper Blender,Kitchen,True,96.15,2,True
2020-01-13,BL_KIT,51,51,0.68,0,68.0,Kitchen Blender,Kitchen,True,100.0,0,False
2020-01-13,BL_IND,61,57,0.92,1,92.0,Industrial Blender,Industrial,True,93.44,4,True
2020-01-13,ESP,53,51,0.82,1,82.0,Espresso Machine,Kitchen,True,96.23,2,True
2020-01-13,SW,46,42,0.77,1,77.0,Sandwich Maker,Kitchen,True,91.3,4,True
2020-01-13,MX_KIT,55,51,0.65,1,65.0,Kitchen Mixer,Kitchen,False,92.73,4,True
2020-01-13,MX_IND,46,46,0.61,0,61.0,Industrial Mixer,Industrial,True,100.0,0,False
2020-01-14,FAN_STD,51,49,0.86,1,86.0,Fan,Cooling,True,96.08,2,True
2020-01-14,EX_FLAT,39,36,0.76,1,76.0,Exhaust Flat,Cooling,True,92.31,3,True
2020-01-14,EX_POLY,52,48,0.77,1,77.0,Exhaust Polygon,Cooling,False,92.31,4,True
2020-01-14,EX_CIRC,48,46,0.82,1,82.0,Exhaust Circular,Cooling,True,95.83,2,True
2020-01-14,AF_5,54,52,0.81,1,81.0,Air Fryer 5L,Kitchen,True,96.3,2,True
2020-01-14,AF_75,47,46,0.93,1,93.0,Air Fryer 7.5L,Kitchen,True,97.87,1,True
2020-01-14,BL_CHOP,42,41,0.81,1,81.0,Chopper Blender,Kitchen,True,97.62,1,True
2020-01-14,BL_KIT,63,60,0.88,1,88.0,Kitchen Blender,Kitchen,True,95.24,3,True
2020-01-14,BL_IND,56,56,0.75,0,75.0,Industrial Blender,Industrial,True,100.0,0,False
2020-01-14,ESP,63,59,0.94,1,94.0,Espresso Machine,Kitchen,True,93.65,4,True
2020-01-14,SW,58,58,0.72,0,72.0,Sandwich Maker,Kitchen,True,100.0,0,False
2020-01-14,MX_KIT,46,42,0.73,1,73.0,Kitchen Mixer,Kitchen,False,91.3,4,True
2020-01-14,MX_IND,55,55,0.6,0,60.0,Industrial Mixer,Industrial,True,100.0,0,False
2020-01-15,FAN_STD,46,46,0.9,0,90.0,Fan,Cooling,True,100.0,0,False
2020-01-15,EX_FLAT,62,60,0.86,1,86.0,Exhaust Flat,Cooling,True,96.77,2,True
2020-01-15,EX_POLY,49,46,0.92,1,92.0,Exhaust Polygon,Cooling,False,93.88,3,True
2020-01-15,EX_CIRC,44,41,0.75,1,75.0,Exhaust Circular,Cooling,True,93.18,3,True
2020-01-15,AF_5,62,60,0.82,1,82.0,Air Fryer 5L,Kitchen,True,96.77,2,True
2020-01-15,AF_75,41,38,0.79,1,79.0,Air Fryer 7.5L,Kitchen,True,92.68,3,True
2020-01-15,BL_CHOP,43,39,0.74,1,74.0,Chopper Blender,Kitchen,True,90.7,4,True
2020-01-15,BL_KIT,48,44,0.82,1,82.0,Kitchen Blender,Kitchen,True,91.67,4,True
2020-01-15,BL_IND,47,45,0.62,1,62.0,Industrial Blender,Industrial,True,95.74,2,True
2020-01-15,ESP,56,55,0.79,1,79.0,Espresso Machine,Kitchen,True,98.21,1,True
2020-01-15,SW,50,48,0.65,1,65.0,Sandwich Maker,Kitchen,True,96.0,2,True
2020-01-15,MX_KIT,43,41,0.73,1,73.0,Kitchen Mixer,Kitchen,False,95.35,2,True
2020-01-15,MX_IND,45,42,0.88,1,88.0,Industrial Mixer,Industrial,True,93.33,3,True
2020-01-16,FAN_STD,59,59,0.68,0,68.0,Fan,Cooling,True,100.0,0,False
2020-01-16,EX_FLAT,44,40,0.81,1,81.0,Exhaust Flat,Cooling,True,90.91,4,True
2020-01-16,EX_POLY,47,45,0.83,1,83.0,Exhaust Polygon,Cooling,False,95.74,2,True
2020-01-16,EX_CIRC,44,42,0.94,1,94.0,Exhaust Circular,Cooling,True,95.45,2,True
2020-01-16,AF_5,65,64,0.6,1,60.0,Air Fryer 5L,Kitchen,True,98.46,1,True
2020-01-16,AF_75,38,36,0.64,1,64.0,Air Fryer 7.5L,Kitchen,True,94.74,2,True
2020-01-16,BL_CHOP,60,59,0.91,1,91.0,Chopper Blender,Kitchen,True,98.33,1,True
2020-01-16,BL_KIT,57,56,0.89,1,89.0,Kitchen Blender,Kitchen,True,98.25,1,True
2020-01-16,BL_IND,47,44,0.82,1,82.0,Industrial Blender,Industrial,True,93.62,3,True
2020-01-16,ESP,48,47,0.9,1,90.0,Espresso Machine,Kitchen,True,97.92,1,True
2020-01-16,SW,56,54,0.91,1,91.0,Sandwich Maker,Kitchen,True,96.43,2,True
2020-01-16,MX_KIT,57,55,0.78,1,78.0,Kitchen Mixer,Kitchen,False,96.49,2,True
2020-01-16,MX_IND,55,55,0.69,0,69.0,Industrial Mixer,Industrial,True,100.0,0,False
2020-01-17,FAN_STD,41,38,0.65,1,65.0,Fan,Cooling,True,92.68,3,True
2020-01-17,EX_FLAT,61,57,0.61,1,61.0,Exhaust Flat,Cooling,True,93.44,4,True
2020-01-17,EX_POLY,62,59,0.77,1,77.0,Exhaust Polygon,Cooling,False,95.16,3,True
2020-01-17,EX_CIRC,37,36,0.85,1,85.0,Exhaust Circular,Cooling,True,97.3,1,True
2020-01-17,AF_5,40,38,0.92,1,92.0,Air Fryer 5L,Kitchen,True,95.0,2,True
2020-01-17,AF_75,59,56,0.82,1,82.0,Air Fryer 7.5L,Kitchen,True,94.92,3,True
2020-01-17,BL_CHOP,50,50,0.75,0,75.0,Chopper Blender,Kitchen,True,100.0,0,False
2020-01-17,BL_KIT,47,46,0.66,1,66.0,Kitchen Blender,Kitchen,True,97.87,1,True
2020-01-17,BL_IND,55,52,0.87,1,87.0,Industrial Blender,Industrial,True,94.55,3,True
2020-01-17,ESP,37,35,0.72,1,72.0,Espresso Machine,Kitchen,True,94.59,2,True
2020-01-17,SW,55,53,0.93,1,93.0,Sandwich Maker,Kitchen,True,96.36,2,True
2020-01-17,MX_KIT,48,44,0.77,1,77.0,Kitchen Mixer,Kitchen,False,91.67,4,True
2020-01-17,MX_IND,45,43,0.81,1,81.0,Industrial Mixer,Industrial,True,95.56,2,True
2020-01-18,FAN_STD,34,30,0.65,1,65.0,Fan,Cooling,True,88.24,4,True
2020-01-18,EX_FLAT,53,53,0.63,0,63.0,Exhaust Flat,Cooling,True,100.0,0,False
2020-01-18,EX_POLY,55,53,0.81,1,81.0,Exhaust Polygon,Cooling,False,96.36,2,True
2020-01-18,EX_CIRC,49,48,0.88,1,88.0,Exhaust Circular,Cooling,True,97.96,1,True
2020-01-18,AF_5,54,53,0.64,1,64.0,Air Fryer 5L,Kitchen,True,98.15,1,True
2020-01-18,AF_75,46,46,0.65,0,65.0,Air Fryer 7.5L,Kitchen,True,100.0,0,False
2020-01-18,BL_CHOP,66,63,0.79,1,79.0,Chopper Blender,Kitchen,True,95.45,3,True
2020-01-18,BL_KIT,59,55,0.87,1,87.0,Kitchen Blender,Kitchen,True,93.22,4,True
2020-01-18,BL_IND,55,55,0.92,0,92.0,Industrial Blender,Industrial,True,100.0,0,False
2020-01-18,ESP,53,53,0.93,0,93.0,Espresso Machine,Kitchen,True,100.0,0,False
2020-01-18,SW,63,59,0.77,1,77.0,Sandwich Maker,Kitchen,True,93.65,4,True
2020-01-18,MX_KIT,46,46,0.67,0,67.0,Kitchen Mixer,Kitchen,False,100.0,0,False
2020-01-18,MX_IND,40,36,0.77,1,77.0,Industrial Mixer,Industrial,True,90.0,4,True
2020-01-19,FAN_STD,46,46,0.83,0,83.0,Fan,Cooling,True,100.0,0,False
2020-01-19,EX_FLAT,47,43,0.63,1,63.0,Exhaust Flat,Cooling,True,91.49,4,True
2020-01-19,EX_POLY,54,51,0.8,1,80.0,Exhaust Polygon,Cooling,False,94.44,3,True
2020-01-19,EX_CIRC,57,57,0.86,0,86.0,Exhaust Circular,Cooling,True,100.0,0,False
2020-01-19,AF_5,50,47,0.68,1,68.0,Air Fryer 5L,Kitchen,True,94.0,3,True
2020-01-19,AF_75,51,49,0.62,1,62.0,Air Fryer 7.5L,Kitchen,True,96.08,2,True
2020-01-19,BL_CHOP,38,35,0.82,1,82.0,Chopper Blender,Kitchen,True,92.11,3,True
2020-01-19,BL_KIT,56,53,0.86,1,86.0,Kitchen Blender,Kitchen,True,94.64,3,True
2020-01-19,BL_IND,44,43,0.7,1,70.0,Industrial Blender,Industrial,True,97.73,1,True
2020-01-19,ESP,44,44,0.92,0,92.0,Espresso Machine,Kitchen,True,100.0,0,False
2020-01-19,SW,33,33,0.84,0,84.0,Sandwich Maker,Kitchen,True,100.0,0,False
2020-01-19,MX_KIT,56,54,0.92,1,92.0,Kitchen Mixer,Kitchen,False,96.43,2,True
2020-01-19,MX_IND,36,32,0.83,1,83.0,Industrial Mixer,Industrial,True,88.89,4,True
2020-01-20,FAN_STD,52,51,0.62,1,62.0,Fan,Cooling,True,98.08,1,True
2020-01-20,EX_FLAT,48,47,0.87,1,87.0,Exhaust Flat,Cooling,True,97.92,1,True
2020-01-20,EX_POLY,47,47,0.78,0,78.0,Exhaust Polygon,Cooling,False,100.0,0,False
2020-01-20,EX_CIRC,52,50,0.74,1,74.0,Exhaust Circular,Cooling,True,96.15,2,True
2020-01-20,AF_5,56,54,0.89,1,89.0,Air Fryer 5L,Kitchen,True,96.43,2,True
2020-01-20,AF_75,44,44,0.81,0,81.0,Air Fryer 7.5L,Kitchen,True,100.0,0,False
2020-01-20,BL_CHOP,52,52,0.74,0,74.0,Chopper Blender,Kitchen,True,100.0,0,False
2020-01-20,BL_KIT,45,43,0.93,1,93.0,Kitchen Blender,Kitchen,True,95.56,2,True
2020-01-20,BL_IND,59,59,0.79,0,79.0,Industrial Blender,Industrial,True,100.0,0,False
2020-01-20,ESP,38,36,0.85,1,85.0,Espresso Machine,Kitchen,True,94.74,2,True
2020-01-20,SW,50,47,0.64,1,64.0,Sandwich Maker,Kitchen,True,94.0,3,True
2020-01-20,MX_KIT,50,48,0.72,1,72.0,Kitchen Mixer,Kitchen,False,96.0,2,True
2020-01-20,MX_IND,54,50,0.86,1,86.0,Industrial Mixer,Industrial,True,92.59,4,True
2020-01-21,FAN_STD,50,47,0.9,1,90.0,Fan,Cooling,True,94.0,3,True
2020-01-21,EX_FLAT,59,57,0.68,1,68.0,Exhaust Flat,Cooling,True,96.61,2,True
2020-01-21,EX_POLY,63,61,0.86,1,86.0,Exhaust Polygon,Cooling,False,96.83,2,True
2020-01-21,EX_CIRC,42,41,0.76,1,76.0,Exhaust Circular,Cooling,True,97.62,1,True
2020-01-21,AF_5,60,58,0.68,1,68.0,Air Fryer 5L,Kitchen,True,96.67,2,True
2020-01-21,AF_75,61,60,0.89,1,89.0,Air Fryer 7.5L,Kitchen,True,98.36,1,True
2020-01-21,BL_CHOP,50,46,0.82,1,82.0,Chopper Blender,Kitchen,True,92.0,4,True
2020-01-21,BL_KIT,45,41,0.87,1,87.0,Kitchen Blender,Kitchen,True,91.11,4,True
